

                                        Root    Hello Max Fwd
Vlan                   Root ID          Cost    Time  Age Dly  Root Port
---------------- -------------------- --------- ----- --- ---  ------------
VLAN0001         32769 a40c.c35c.8b00         0    2   20  15                  
VLAN0020         32788 a40c.c35c.8b00         0    2   20  15                  
VLAN0100         32868 a40c.c35c.8b00         0    2   20  15                  
VLAN0200         32968 a40c.c35c.8b00         0    2   20  15                  
VLAN0201         32969 a40c.c35c.8b00         0    2   20  15                  
VLAN0202         32970 a40c.c35c.8b00         0    2   20  15                  
VLAN0203         32971 a40c.c35c.8b00         0    2   20  15                  
VLAN0204         32972 a40c.c35c.8b00         0    2   20  15                  
VLAN0205         32973 a40c.c35c.8b00         0    2   20  15                  
VLAN0206         32974 a40c.c35c.8b00         0    2   20  15                  
VLAN0207         32975 a40c.c35c.8b00         0    2   20  15                  
VLAN0208         32976 a40c.c35c.8b00         0    2   20  15                  
VLAN0209         32977 a40c.c35c.8b00         0    2   20  15                  
VLAN0210         32978 a40c.c35c.8b00         0    2   20  15                  
VLAN0211         32979 a40c.c35c.8b00         0    2   20  15                  
VLAN0212         32980 a40c.c35c.8b00         0    2   20  15                  
VLAN0213         32981 a40c.c35c.8b00         0    2   20  15                  
VLAN0214         32982 a40c.c35c.8b00         0    2   20  15                  
VLAN0215         32983 a40c.c35c.8b00         0    2   20  15                  
VLAN0216         32984 a40c.c35c.8b00         0    2   20  15                  
VLAN0217         32985 a40c.c35c.8b00         0    2   20  15                  
VLAN0218         32986 a40c.c35c.8b00         0    2   20  15                  
VLAN0219         32987 a40c.c35c.8b00         0    2   20  15                  
VLAN0220         32988 a40c.c35c.8b00         0    2   20  15                  
VLAN0221         32989 a40c.c35c.8b00         0    2   20  15                  
VLAN0222         32990 a40c.c35c.8b00         0    2   20  15                  
VLAN0223         32991 a40c.c35c.8b00         0    2   20  15                  
VLAN0224         32992 a40c.c35c.8b00         0    2   20  15                  
VLAN0225         32993 a40c.c35c.8b00         0    2   20  15                  
VLAN0226         32994 a40c.c35c.8b00         0    2   20  15                  
VLAN0227         32995 a40c.c35c.8b00         0    2   20  15                  
VLAN0228         32996 a40c.c35c.8b00         0    2   20  15                  
VLAN0229         32997 a40c.c35c.8b00         0    2   20  15                  
VLAN0230         32998 a40c.c35c.8b00         0    2   20  15                  
VLAN0231         32999 a40c.c35c.8b00         0    2   20  15                  
VLAN0232         33000 a40c.c35c.8b00         0    2   20  15                  
VLAN0233         33001 a40c.c35c.8b00         0    2   20  15                  
VLAN0234         33002 a40c.c35c.8b00         0    2   20  15                  
VLAN0235         33003 a40c.c35c.8b00         0    2   20  15                  
VLAN0236         33004 a40c.c35c.8b00         0    2   20  15                  
VLAN0237         33005 a40c.c35c.8b00         0    2   20  15                  
VLAN0238         33006 a40c.c35c.8b00         0    2   20  15                  
VLAN0239         33007 a40c.c35c.8b00         0    2   20  15                  
VLAN0240         33008 a40c.c35c.8b00         0    2   20  15                  
VLAN0241         33009 a40c.c35c.8b00         0    2   20  15                  
VLAN0242         33010 a40c.c35c.8b00         0    2   20  15                  
VLAN0243         33011 a40c.c35c.8b00         0    2   20  15                  
VLAN0244         33012 a40c.c35c.8b00         0    2   20  15                  
VLAN0245         33013 a40c.c35c.8b00         0    2   20  15                  
VLAN0246         33014 a40c.c35c.8b00         0    2   20  15                  
VLAN0247         33015 a40c.c35c.8b00         0    2   20  15                  
VLAN0248         33016 a40c.c35c.8b00         0    2   20  15                  
VLAN0249         33017 a40c.c35c.8b00         0    2   20  15                  
VLAN0250         33018 a40c.c35c.8b00         0    2   20  15                  
VLAN0251         33019 a40c.c35c.8b00         0    2   20  15                  
VLAN0252         33020 a40c.c35c.8b00         0    2   20  15                  
VLAN0253         33021 a40c.c35c.8b00         0    2   20  15                  
VLAN0254         33022 a40c.c35c.8b00         0    2   20  15                  
VLAN0255         33023 a40c.c35c.8b00         0    2   20  15                  
VLAN0256         33024 a40c.c35c.8b00         0    2   20  15                  
VLAN0257         33025 a40c.c35c.8b00         0    2   20  15                  
VLAN0258         33026 a40c.c35c.8b00         0    2   20  15                  
VLAN0259         33027 a40c.c35c.8b00         0    2   20  15                  
VLAN0260         33028 a40c.c35c.8b00         0    2   20  15                  
VLAN0261         33029 a40c.c35c.8b00         0    2   20  15                  
VLAN0262         33030 a40c.c35c.8b00         0    2   20  15                  
VLAN0263         33031 a40c.c35c.8b00         0    2   20  15                  
VLAN0264         33032 a40c.c35c.8b00         0    2   20  15                  
VLAN0265         33033 a40c.c35c.8b00         0    2   20  15                  
VLAN0266         33034 a40c.c35c.8b00         0    2   20  15                  
VLAN0267         33035 a40c.c35c.8b00         0    2   20  15                  
VLAN0268         33036 a40c.c35c.8b00         0    2   20  15                  
VLAN0269         33037 a40c.c35c.8b00         0    2   20  15                  
VLAN0270         33038 a40c.c35c.8b00         0    2   20  15                  
VLAN0271         33039 a40c.c35c.8b00         0    2   20  15                  
