conf tsh span root 

                                        Root    Hello Max Fwd
Vlan                   Root ID          Cost    Time  Age Dly  Root Port
---------------- -------------------- --------- ----- --- ---  ------------
VLAN0001         32769 a40c.c35c.8b00         0    2   20  15                  
VLAN0020         32788 a40c.c35c.8b00         0    2   20  15                  
VLAN0100         32868 a40c.c35c.8b00         0    2   20  15                  
VLAN0200           200 a40c.c35c.8b00         0    2   20  15                  
VLAN0201           201 a40c.c35c.8b00         0    2   20  15                  
VLAN0202           202 a40c.c35c.8b00         0    2   20  15                  
VLAN0203           203 a40c.c35c.8b00         0    2   20  15                  
VLAN0204           204 a40c.c35c.8b00         0    2   20  15                  
VLAN0205           205 a40c.c35c.8b00         0    2   20  15                  
VLAN0206           206 a40c.c35c.8b00         0    2   20  15                  
VLAN0207           207 a40c.c35c.8b00         0    2   20  15                  
VLAN0208           208 a40c.c35c.8b00         0    2   20  15                  
VLAN0209           209 a40c.c35c.8b00         0    2   20  15                  
VLAN0210           210 a40c.c35c.8b00         0    2   20  15                  
VLAN0211           211 a40c.c35c.8b00         0    2   20  15                  
VLAN0212           212 a40c.c35c.8b00         0    2   20  15                  
VLAN0213           213 a40c.c35c.8b00         0    2   20  15                  
VLAN0214           214 a40c.c35c.8b00         0    2   20  15                  
VLAN0215           215 a40c.c35c.8b00         0    2   20  15                  
VLAN0216           216 a40c.c35c.8b00         0    2   20  15                  
VLAN0217           217 a40c.c35c.8b00         0    2   20  15                  
VLAN0218           218 a40c.c35c.8b00         0    2   20  15                  
VLAN0219           219 a40c.c35c.8b00         0    2   20  15                  
VLAN0220           220 a40c.c35c.8b00         0    2   20  15                  
VLAN0221           221 a40c.c35c.8b00         0    2   20  15                  
VLAN0222           222 a40c.c35c.8b00         0    2   20  15                  
VLAN0223           223 a40c.c35c.8b00         0    2   20  15                  
VLAN0224           224 a40c.c35c.8b00         0    2   20  15                  
VLAN0225           225 a40c.c35c.8b00         0    2   20  15                  
VLAN0226           226 a40c.c35c.8b00         0    2   20  15                  
VLAN0227           227 a40c.c35c.8b00         0    2   20  15                  
VLAN0228           228 a40c.c35c.8b00         0    2   20  15                  
VLAN0229           229 a40c.c35c.8b00         0    2   20  15                  
VLAN0230           230 a40c.c35c.8b00         0    2   20  15                  
VLAN0231           231 a40c.c35c.8b00         0    2   20  15                  
VLAN0232           232 a40c.c35c.8b00         0    2   20  15                  
VLAN0233           233 a40c.c35c.8b00         0    2   20  15                  
VLAN0234           234 a40c.c35c.8b00         0    2   20  15                  
VLAN0235           235 a40c.c35c.8b00         0    2   20  15                  
VLAN0236           236 a40c.c35c.8b00         0    2   20  15                  
VLAN0237           237 a40c.c35c.8b00         0    2   20  15                  
VLAN0238           238 a40c.c35c.8b00         0    2   20  15                  
VLAN0239           239 a40c.c35c.8b00         0    2   20  15                  
VLAN0240           240 a40c.c35c.8b00         0    2   20  15                  
VLAN0241           241 a40c.c35c.8b00         0    2   20  15                  
VLAN0242           242 a40c.c35c.8b00         0    2   20  15                  
VLAN0243           243 a40c.c35c.8b00         0    2   20  15                  
VLAN0244           244 a40c.c35c.8b00         0    2   20  15                  
VLAN0245           245 a40c.c35c.8b00         0    2   20  15                  
VLAN0246           246 a40c.c35c.8b00         0    2   20  15                  
VLAN0247           247 a40c.c35c.8b00         0    2   20  15                  
VLAN0248           248 a40c.c35c.8b00         0    2   20  15                  
VLAN0249           249 a40c.c35c.8b00         0    2   20  15                  
VLAN0250           250 a40c.c35c.8b00         0    2   20  15                  
VLAN0251           251 a40c.c35c.8b00         0    2   20  15                  
VLAN0252           252 a40c.c35c.8b00         0    2   20  15                  
VLAN0253           253 a40c.c35c.8b00         0    2   20  15                  
VLAN0254           254 a40c.c35c.8b00         0    2   20  15                  
VLAN0255           255 a40c.c35c.8b00         0    2   20  15                  
VLAN0256           256 a40c.c35c.8b00         0    2   20  15                  
VLAN0257           257 a40c.c35c.8b00         0    2   20  15                  
VLAN0258           258 a40c.c35c.8b00         0    2   20  15                  
VLAN0259           259 a40c.c35c.8b00         0    2   20  15                  
VLAN0260           260 a40c.c35c.8b00         0    2   20  15                  
VLAN0261           261 a40c.c35c.8b00         0    2   20  15                  
VLAN0262           262 a40c.c35c.8b00         0    2   20  15                  
VLAN0263           263 a40c.c35c.8b00         0    2   20  15                  
VLAN0264           264 a40c.c35c.8b00         0    2   20  15                  
VLAN0265           265 a40c.c35c.8b00         0    2   20  15                  
VLAN0266           266 a40c.c35c.8b00         0    2   20  15                  
VLAN0267           267 a40c.c35c.8b00         0    2   20  15                  
VLAN0268           268 a40c.c35c.8b00         0    2   20  15                  
VLAN0269           269 a40c.c35c.8b00         0    2   20  15                  
VLAN0270           270 a40c.c35c.8b00         0    2   20  15                  
VLAN0271           271 a40c.c35c.8b00         0    2   20  15                  
VLAN0272           272 a40c.c35c.8b00         0    2   20  15                  
VLAN0273           273 a40c.c35c.8b00         0    2   20  15                  
VLAN0274           274 a40c.c35c.8b00         0    2   20  15                  
